model,pooling,dataset_size,C,auc,test_pos,test_neg,embedding_dim,runtime_sec
dinov2-giant,multicrop,100,0.1,0.88,30,30,1536,0.1
dinov2-giant,multicrop,100,1.0,0.877778,30,30,1536,0.1
dinov2-giant,multicrop,100,10.0,0.875556,30,30,1536,0.1
dinov2-giant,multicrop,250,0.01,0.875533,74,76,1536,0.74
dinov2-giant,multicrop,250,0.1,0.872511,74,76,1536,0.74
dinov2-giant,multicrop,250,1.0,0.87091,74,76,1536,0.74
dinov2-giant,multicrop,250,10.0,0.866821,74,76,1536,0.74
dinov3-vitl16,cls,50,0.01,0.884444,15,15,1024,0.05
dinov3-vitl16,cls,50,0.1,0.897778,15,15,1024,0.05
dinov3-vitl16,cls,50,1.0,0.906667,15,15,1024,0.05
dinov3-vitl16,cls,50,10.0,0.915556,15,15,1024,0.05
dinov3-vitl16,cls,100,0.01,0.894444,30,30,1024,0.08
dinov3-vitl16,cls,100,0.1,0.891111,30,30,1024,0.08
dinov3-vitl16,cls,100,1.0,0.888889,30,30,1024,0.08
dinov3-vitl16,cls,100,10.0,0.894444,30,30,1024,0.08
dinov3-vitl16,cls,250,0.01,0.895982,74,76,1024,0.11
dinov3-vitl16,cls,250,0.1,0.88638,74,76,1024,0.11
dinov3-vitl16,cls,250,1.0,0.88069,74,76,1024,0.11
dinov3-vitl16,cls,250,10.0,0.874822,74,76,1024,0.11
dinov3-vitl16,patch_mean,50,0.01,0.884444,15,15,1024,0.04
dinov3-vitl16,patch_mean,50,0.1,0.884444,15,15,1024,0.04
dinov3-vitl16,patch_mean,50,1.0,0.884444,15,15,1024,0.04
dinov3-vitl16,patch_mean,50,10.0,0.884444,15,15,1024,0.04
dinov3-vitl16,patch_mean,100,0.01,0.894444,30,30,1024,0.06
dinov3-vitl16,patch_mean,100,0.1,0.901111,30,30,1024,0.06
dinov3-vitl16,patch_mean,100,1.0,0.898889,30,30,1024,0.06
dinov3-vitl16,patch_mean,100,10.0,0.901111,30,30,1024,0.06
dinov3-vitl16,patch_mean,250,0.01,0.908073,74,76,1024,0.09
dinov3-vitl16,patch_mean,250,0.1,0.908784,74,76,1024,0.09
dinov3-vitl16,patch_mean,250,1.0,0.907717,74,76,1024,0.09
dinov3-vitl16,patch_mean,250,10.0,0.908784,74,76,1024,0.09
dinov3-vitl16,patch_max,50,0.01,0.831111,15,15,1024,0.04
dinov3-vitl16,patch_max,50,0.1,0.817778,15,15,1024,0.04
dinov3-vitl16,patch_max,50,1.0,0.817778,15,15,1024,0.04
dinov3-vitl16,patch_max,50,10.0,0.817778,15,15,1024,0.04
dinov3-vitl16,patch_max,100,0.01,0.877778,30,30,1024,0.06
dinov3-vitl16,patch_max,100,0.1,0.877778,30,30,1024,0.06
dinov3-vitl16,patch_max,100,1.0,0.875556,30,30,1024,0.06
dinov3-vitl16,patch_max,100,10.0,0.877778,30,30,1024,0.06
dinov3-vitl16,patch_max,250,0.01,0.853485,74,76,1024,0.09
dinov3-vitl16,patch_max,250,0.1,0.852952,74,76,1024,0.09
dinov3-vitl16,patch_max,250,1.0,0.852774,74,76,1024,0.09
dinov3-vitl16,patch_max,250,10.0,0.851529,74,76,1024,0.09
dinov3-vitl16,patch_gem,50,0.01,0.871111,15,15,1024,0.03
dinov3-vitl16,patch_gem,50,0.1,0.857778,15,15,1024,0.03
dinov3-vitl16,patch_gem,50,1.0,0.853333,15,15,1024,0.03
dinov3-vitl16,patch_gem,50,10.0,0.862222,15,15,1024,0.04
dinov3-vitl16,patch_gem,100,0.01,0.896667,30,30,1024,0.06
dinov3-vitl16,patch_gem,100,0.1,0.895556,30,30,1024,0.06
dinov3-vitl16,patch_gem,100,1.0,0.888889,30,30,1024,0.06
dinov3-vitl16,patch_gem,100,10.0,0.892222,30,30,1024,0.06
dinov3-vitl16,patch_gem,250,0.01,0.897404,74,76,1024,0.09
dinov3-vitl16,patch_gem,250,0.1,0.898115,74,76,1024,0.09
dinov3-vitl16,patch_gem,250,1.0,0.894559,74,76,1024,0.09
dinov3-vitl16,patch_gem,250,10.0,0.890469,74,76,1024,0.09
dinov3-vitl16,cls_patch,50,0.01,0.866667,15,15,2048,0.06
dinov3-vitl16,cls_patch,50,0.1,0.866667,15,15,2048,0.06
dinov3-vitl16,cls_patch,50,1.0,0.88,15,15,2048,0.06
dinov3-vitl16,cls_patch,50,10.0,0.866667,15,15,2048,0.06
dinov3-vitl16,cls_patch,100,0.01,0.903333,30,30,2048,0.09
dinov3-vitl16,cls_patch,100,0.1,0.906667,30,30,2048,0.09
dinov3-vitl16,cls_patch,100,1.0,0.906667,30,30,2048,0.09
dinov3-vitl16,cls_patch,100,10.0,0.903333,30,30,2048,0.09
dinov3-vitl16,cls_patch,250,0.01,0.910917,74,76,2048,1.26
dinov3-vitl16,cls_patch,250,0.1,0.908073,74,76,2048,1.26
dinov3-vitl16,cls_patch,250,1.0,0.905405,74,76,2048,1.26
dinov3-vitl16,cls_patch,250,10.0,0.903805,74,76,2048,1.26
dinov3-vitl16,multicrop,50,0.01,0.866667,15,15,1024,0.08
dinov3-vitl16,multicrop,50,0.1,0.875556,15,15,1024,0.08
dinov3-vitl16,multicrop,50,1.0,0.875556,15,15,1024,0.08
dinov3-vitl16,multicrop,50,10.0,0.875556,15,15,1024,0.08
dinov3-vitl16,multicrop,100,0.01,0.884444,30,30,1024,0.1
dinov3-vitl16,multicrop,100,0.1,0.877778,30,30,1024,0.1
dinov3-vitl16,multicrop,100,1.0,0.877778,30,30,1024,0.1
dinov3-vitl16,multicrop,100,10.0,0.876667,30,30,1024,0.1
dinov3-vitl16,multicrop,250,0.01,0.911095,74,76,1024,0.13
dinov3-vitl16,multicrop,250,0.1,0.906828,74,76,1024,0.13
dinov3-vitl16,multicrop,250,1.0,0.901227,74,76,1024,0.13
dinov3-vitl16,multicrop,250,10.0,0.898293,74,76,1024,0.13
siglip-so400m,cls,50,0.01,0.791111,15,15,1152,0.04
siglip-so400m,cls,50,0.1,0.724444,15,15,1152,0.04
siglip-so400m,cls,50,1.0,0.711111,15,15,1152,0.04
siglip-so400m,cls,50,10.0,0.706667,15,15,1152,0.04
siglip-so400m,cls,100,0.01,0.742222,30,30,1152,0.08
siglip-so400m,cls,100,0.1,0.753333,30,30,1152,0.08
siglip-so400m,cls,100,1.0,0.755556,30,30,1152,0.08
siglip-so400m,cls,100,10.0,0.752222,30,30,1152,0.08
siglip-so400m,cls,250,0.01,0.698791,74,76,1152,0.12
siglip-so400m,cls,250,0.1,0.694701,74,76,1152,0.12
siglip-so400m,cls,250,1.0,0.6883,74,76,1152,0.12
siglip-so400m,cls,250,10.0,0.692212,74,76,1152,0.12
