model,pooling,dataset_size,k,auc,test_pos,test_neg,embedding_dim,runtime_sec
dinov2-giant,patch_gem,50,1,0.7,15,15,1536,0.12
dinov2-giant,patch_gem,50,5,0.786667,15,15,1536,0.12
dinov2-giant,patch_gem,50,11,0.768889,15,15,1536,0.12
dinov2-giant,patch_gem,100,1,0.85,30,30,1536,0.21
dinov2-giant,patch_gem,100,5,0.908889,30,30,1536,0.21
dinov2-giant,patch_gem,100,11,0.873333,30,30,1536,0.21
dinov2-giant,patch_gem,250,1,0.846017,74,76,1536,0.33
dinov2-giant,patch_gem,250,5,0.900071,74,76,1536,0.33
dinov2-giant,patch_gem,250,11,0.901849,74,76,1536,0.33
dinov2-giant,cls_patch,50,1,0.7,15,15,3072,0.15
dinov2-giant,cls_patch,50,5,0.817778,15,15,3072,0.15
dinov2-giant,cls_patch,50,11,0.826667,15,15,3072,0.15
dinov2-giant,cls_patch,100,1,0.866667,30,30,3072,0.28
dinov2-giant,cls_patch,100,5,0.91,30,30,3072,0.28
dinov2-giant,cls_patch,100,11,0.848889,30,30,3072,0.28
dinov2-giant,cls_patch,250,1,0.806366,74,76,3072,0.42
dinov2-giant,cls_patch,250,5,0.911895,74,76,3072,0.42
dinov2-giant,cls_patch,250,11,0.914029,74,76,3072,0.42
dinov2-giant,multicrop,50,1,0.8,15,15,1536,0.11
dinov2-giant,multicrop,50,5,0.906667,15,15,1536,0.11
dinov2-giant,multicrop,50,11,0.875556,15,15,1536,0.11
dinov2-giant,multicrop,100,1,0.766667,30,30,1536,0.23
dinov2-giant,multicrop,100,5,0.84,30,30,1536,0.23
dinov2-giant,multicrop,100,11,0.841111,30,30,1536,0.23
dinov2-giant,multicrop,250,1,0.766536,74,76,1536,0.36
dinov2-giant,multicrop,250,5,0.854552,74,76,1536,0.36
dinov2-giant,multicrop,250,11,0.897582,74,76,1536,0.36
dinov3-vitl16,cls,50,1,0.666667,15,15,1024,0.12
dinov3-vitl16,cls,50,5,0.813333,15,15,1024,0.12
dinov3-vitl16,cls,50,11,0.857778,15,15,1024,0.12
dinov3-vitl16,cls,100,1,0.85,30,30,1024,0.21
dinov3-vitl16,cls,100,5,0.917778,30,30,1024,0.21
dinov3-vitl16,cls,100,11,0.902222,30,30,1024,0.21
dinov3-vitl16,cls,250,1,0.786807,74,76,1024,0.33
dinov3-vitl16,cls,250,5,0.867532,74,76,1024,0.33
dinov3-vitl16,cls,250,11,0.898204,74,76,1024,0.33
dinov3-vitl16,patch_mean,50,1,0.733333,15,15,1024,0.11
dinov3-vitl16,patch_mean,50,5,0.884444,15,15,1024,0.11
dinov3-vitl16,patch_mean,50,11,0.831111,15,15,1024,0.11
dinov3-vitl16,patch_mean,100,1,0.85,30,30,1024,0.2
dinov3-vitl16,patch_mean,100,5,0.919444,30,30,1024,0.2
dinov3-vitl16,patch_mean,100,11,0.91,30,30,1024,0.2
dinov3-vitl16,patch_mean,250,1,0.866287,74,76,1024,0.3
dinov3-vitl16,patch_mean,250,5,0.921942,74,76,1024,0.3
dinov3-vitl16,patch_mean,250,11,0.924431,74,76,1024,0.3
dinov3-vitl16,patch_max,50,1,0.666667,15,15,1024,0.11
dinov3-vitl16,patch_max,50,5,0.768889,15,15,1024,0.11
